ID,NAME,PX_MID,TRADING_DT_REALTIME,SETTLE_DT,FUT_DLV_DT_FIRST,INT_RATE_FUT_END_DT,INT_RATE_FUT_START_DT,FUT_CONTRACT_DT,FUT_NOTL_MTY,FUT_ACT_DAYS_EXP,COUNTRY,INT_RT_DAY_CNT_DES
EDH3 Comdty,90DAY EURO$ FUTR  Mar23,#N/A N/A,27/3/2013,28/3/2013,13/3/2023,21/6/2023,15/3/2023,03/2023,25/6/2013,3638,US,ACT/360
EDJ3 Comdty,90DAY EURO$ FUTR  Apr13,99.7075,27/3/2013,28/3/2013,15/4/2013,17/7/2013,17/4/2013,04/2013,25/6/2013,19,US,ACT/360
EDK3 Comdty,90DAY EURO$ FUTR  May13,99.6875,27/3/2013,28/3/2013,13/5/2013,21/8/2013,15/5/2013,05/2013,25/6/2013,47,US,ACT/360
EDM3 Comdty,90DAY EURO$ FUTR  Jun13,99.6675,27/3/2013,28/3/2013,17/6/2013,18/9/2013,19/6/2013,06/2013,25/6/2013,82,US,ACT/360
EDN3 Comdty,90DAY EURO$ FUTR  Jul13,99.6575,27/3/2013,28/3/2013,15/7/2013,16/10/2013,17/7/2013,07/2013,25/6/2013,110,US,ACT/360
EDQ3 Comdty,90DAY EURO$ FUTR  Aug13,#N/A N/A,27/3/2013,28/3/2013,19/8/2013,20/11/2013,21/8/2013,08/2013,25/6/2013,145,US,ACT/360
EDU3 Comdty,90DAY EURO$ FUTR  Sep13,99.6325,27/3/2013,28/3/2013,16/9/2013,18/12/2013,18/9/2013,09/2013,25/6/2013,173,US,ACT/360
EDZ3 Comdty,90DAY EURO$ FUTR  Dec13,99.5975,27/3/2013,28/3/2013,16/12/2013,19/3/2014,18/12/2013,12/2013,25/6/2013,264,US,ACT/360
EDH4 Comdty,90DAY EURO$ FUTR  Mar14,99.5675,27/3/2013,28/3/2013,17/3/2014,18/6/2014,19/3/2014,03/2014,25/6/2013,355,US,ACT/360
EDM4 Comdty,90DAY EURO$ FUTR  Jun14,99.5375,27/3/2013,28/3/2013,16/6/2014,17/9/2014,18/6/2014,06/2014,25/6/2013,446,US,ACT/360
EDU4 Comdty,90DAY EURO$ FUTR  Sep14,99.495,27/3/2013,28/3/2013,15/9/2014,17/12/2014,17/9/2014,09/2014,25/6/2013,537,US,ACT/360
EDZ4 Comdty,90DAY EURO$ FUTR  Dec14,99.4325,27/3/2013,28/3/2013,15/12/2014,18/3/2015,17/12/2014,12/2014,25/6/2013,628,US,ACT/360
EDH5 Comdty,90DAY EURO$ FUTR  Mar15,99.3625,27/3/2013,28/3/2013,16/3/2015,17/6/2015,18/3/2015,03/2015,25/6/2013,719,US,ACT/360
EDM5 Comdty,90DAY EURO$ FUTR  Jun15,99.2775,27/3/2013,28/3/2013,15/6/2015,16/9/2015,17/6/2015,06/2015,25/6/2013,810,US,ACT/360
EDU5 Comdty,90DAY EURO$ FUTR  Sep15,99.1825,27/3/2013,28/3/2013,14/9/2015,16/12/2015,16/9/2015,09/2015,25/6/2013,901,US,ACT/360
EDZ5 Comdty,90DAY EURO$ FUTR  Dec15,99.06,27/3/2013,28/3/2013,14/12/2015,16/3/2016,16/12/2015,12/2015,25/6/2013,992,US,ACT/360
